Source;Target;Label;Weight
30;4;PEdge304;0.99998
30;5;PEdge305;0.25919
30;6;PEdge306;0.56437
30;7;PEdge307;0.77991
30;8;PEdge308;0.48684
30;9;PEdge309;0.21242
30;10;PEdge3010;0.42441
30;11;PEdge3011;0.21453
30;12;PEdge3012;0.76688
30;13;PEdge3013;0.99998
30;14;PEdge3014;0.69129
30;15;PEdge3015;0.78043
30;16;PEdge3016;0.99997
30;17;PEdge3017;0.99996
30;18;PEdge3018;0.99998
30;19;PEdge3019;0.99998
30;20;PEdge3020;0.99998
30;21;PEdge3021;0.99997
30;22;PEdge3022;0.99998
30;23;PEdge3023;0.16867
30;24;PEdge3024;0.67145
30;25;PEdge3025;0.5481
30;26;PEdge3026;0.29643
30;27;PEdge3027;0.22772
30;28;PEdge3028;0.99998
30;29;PEdge3029;0.1932
31;1;PEdge311;0.017758
31;2;PEdge312;0.25408
31;3;PEdge313;0.48152
31;4;PEdge314;0.48154
5;31;NEdge531;0.085664
31;6;PEdge316;0.35846
31;7;PEdge317;0.38629
31;8;PEdge318;0.067907
9;31;NEdge931;0.09424
31;10;PEdge3110;0.1707
11;31;NEdge1131;0.21551
31;12;PEdge3112;0.35171
31;13;PEdge3113;0.48168
31;14;PEdge3114;0.27623
31;15;PEdge3115;0.38638
31;16;PEdge3116;0.48183
31;17;PEdge3117;0.48182
31;18;PEdge3118;0.4818
31;19;PEdge3119;0.48161
31;20;PEdge3120;0.4817
31;21;PEdge3121;0.48171
31;22;PEdge3122;0.48164
31;23;PEdge3123;0.27796
31;24;PEdge3124;0.25048
31;25;PEdge3125;0.18064
31;26;PEdge3126;0.0075087
31;27;PEdge3127;0.015192
31;28;PEdge3128;0.48162
31;29;PEdge3129;0.018505
31;30;PEdge3130;0.48157
32;1;PEdge321;0.021801
32;2;PEdge322;0.62121
32;3;PEdge323;0.99996
32;4;PEdge324;1
32;5;PEdge325;0.25942
32;6;PEdge326;0.56428
32;7;PEdge327;0.77987
32;8;PEdge328;0.48699
32;9;PEdge329;0.21259
32;10;PEdge3210;0.42442
32;11;PEdge3211;0.2147
32;12;PEdge3212;0.76689
32;13;PEdge3213;0.99999
32;14;PEdge3214;0.69132
32;15;PEdge3215;0.78036
32;16;PEdge3216;0.99998
32;17;PEdge3217;0.99997
32;18;PEdge3218;0.99999
32;19;PEdge3219;0.99999
32;20;PEdge3220;0.99999
32;21;PEdge3221;0.99998
32;22;PEdge3222;0.99999
32;23;PEdge3223;0.16886
32;24;PEdge3224;0.67146
32;25;PEdge3225;0.54793
32;26;PEdge3226;0.29663
32;27;PEdge3227;0.22719
32;28;PEdge3228;0.99999
32;29;PEdge3229;0.19325
32;30;PEdge3230;0.99998
32;31;PEdge3231;0.48154
1;33;NEdge133;0.1817
33;2;PEdge332;0.47298
33;3;PEdge333;0.28704
33;4;PEdge334;0.28742
33;5;PEdge335;0.22495
33;6;PEdge336;0.40027
33;7;PEdge337;0.46225
33;8;PEdge338;0.51799
33;9;PEdge339;0.19516
33;10;PEdge3310;0.34
33;11;PEdge3311;0.23739
33;12;PEdge3312;0.47418
33;13;PEdge3313;0.28742
33;14;PEdge3314;0.47324
33;15;PEdge3315;0.4608
33;16;PEdge3316;0.28789
33;17;PEdge3317;0.28731
33;18;PEdge3318;0.28757
33;19;PEdge3319;0.28763
33;20;PEdge3320;0.28754
33;21;PEdge3321;0.28756
33;22;PEdge3322;0.28723
33;23;PEdge3323;0.00018889
33;24;PEdge3324;0.37644
33;25;PEdge3325;0.3595
33;26;PEdge3326;0.26245
33;27;PEdge3327;0.30168
33;28;PEdge3328;0.2876
33;29;PEdge3329;0.46553
33;30;PEdge3330;0.28737
33;31;PEdge3331;0.1037
33;32;PEdge3332;0.28742
34;1;PEdge341;0.021545
34;2;PEdge342;0.62124
34;3;PEdge343;0.99996
34;4;PEdge344;0.99999
34;5;PEdge345;0.25963
34;6;PEdge346;0.56445
34;7;PEdge347;0.77997
34;8;PEdge348;0.48701
34;9;PEdge349;0.21255
34;10;PEdge3410;0.42448
34;11;PEdge3411;0.21471
34;12;PEdge3412;0.76696
34;13;PEdge3413;0.99999
34;14;PEdge3414;0.69114
34;15;PEdge3415;0.78047
34;16;PEdge3416;0.99998
34;17;PEdge3417;0.99997
34;18;PEdge3418;0.99999
34;19;PEdge3419;0.99999
34;20;PEdge3420;0.99999
34;21;PEdge3421;0.99998
34;22;PEdge3422;0.99999
34;23;PEdge3423;0.16912
34;24;PEdge3424;0.67138
34;25;PEdge3425;0.54819
34;26;PEdge3426;0.29676
34;27;PEdge3427;0.22719
34;28;PEdge3428;0.99999
34;29;PEdge3429;0.19354
34;30;PEdge3430;0.99998
34;31;PEdge3431;0.48177
34;32;PEdge3432;0.99999
34;33;PEdge3433;0.28758
1;35;NEdge135;0.098567
35;2;PEdge352;0.55273
35;3;PEdge353;0.2855
35;4;PEdge354;0.2858
35;5;PEdge355;0.60686
35;6;PEdge356;0.444
35;7;PEdge357;0.24436
35;8;PEdge358;0.61117
35;9;PEdge359;0.4662
35;10;PEdge3510;0.37651
35;11;PEdge3511;0.6414
35;12;PEdge3512;0.28822
35;13;PEdge3513;0.2857
35;14;PEdge3514;0.4741
35;15;PEdge3515;0.24684
35;16;PEdge3516;0.28606
35;17;PEdge3517;0.2855
35;18;PEdge3518;0.28571
35;19;PEdge3519;0.28605
35;20;PEdge3520;0.28567
35;21;PEdge3521;0.28545
35;22;PEdge3522;0.28566
23;35;NEdge2335;0.070877
35;24;PEdge3524;0.41916
35;25;PEdge3525;0.22551
35;26;PEdge3526;0.4719
35;27;PEdge3527;0.2923
35;28;PEdge3528;0.28575
35;29;PEdge3529;0.28692
35;30;PEdge3530;0.28559
31;35;NEdge3135;0.059145
35;32;PEdge3532;0.2858
35;33;PEdge3533;0.36958
