ARS/USD,AUD/USD,ATS/USD,BEF/USD,BRL/USD,GBP/USD,BGN/USD,CAD/USD,CLP/USD,CNY/USD,COP/USD,HRK/USD,CYP/USD,CZK/USD,DKK/USD,NLG/USD,EEK/USD,EUR/USD,FIM/USD,FRF/USD,DEM/USD,GRD/USD,HKD/USD,HUF/USD,ISK/USD,INR/USD,IDR/USD,IEP/USD,ILS/USD,ITL/USD,JPY/USD,LUF/USD,MYR/USD,MTL/USD,MXN/USD,NZD/USD,NOK/USD,PKR/USD,PEN/USD,PHP/USD,XPT/USD,PLN/USD,PTE/USD,RON/USD,RUB/USD,SAR/USD,SGD/USD,SKK/USD,SIT/USD,ZAR/USD,KRW/USD,ESP/USD,XDR/USD,SEK/USD,CHF/USD,TWD/USD,THB/USD,TRY/USD
60.197,1.481,12.499,36.642,4.2025,0.76926,1.7757,1.3179,786.82,6.9363,3391.7,6.7556,0.53162,22.898,6.7845,2.0017,14.212,0.90833,5.4007,5.9583,1.7765,309.51,7.7752,306.12,124.56,71.238,13587,0.71537,3.453,1758.8,109.1,36.642,4.083,0.38995,18.79,1.5312,9.1394,154.19,3.3348,50.731,0.00101833,3.8795,182.1,4.3383,62.46,3.7515,1.3585,27.364,217.67,14.595,1178.8,151.13,0.72688,9.6197,0.97319,30.11,30.818,5.9445
60.197,1.4822,12.506,36.662,4.2133,0.76873,1.7804,1.3196,790.94,6.938,3396.1,6.7746,0.53191,22.947,6.8026,2.0028,14.22,0.90882,5.4036,5.9614,1.7775,309.68,7.7715,307.13,123.71,71.33,13604,0.71575,3.464,1759.7,109.15,36.662,4.0859,0.39015,18.707,1.5332,9.1639,153.97,3.3441,50.913,0.00101626,3.8995,182.2,4.3486,62.629,3.7521,1.361,27.379,217.79,14.61,1179.3,151.21,0.72701,9.6181,0.97481,30.093,31.015,5.9603
60.24,1.4901,12.475,36.571,4.2567,0.76386,1.7733,1.3217,796.05,6.9381,3412.9,6.748,0.5306,22.894,6.7757,1.9978,14.185,0.90658,5.3903,5.9468,1.7731,308.92,7.7656,306.79,123.22,71.559,13626,0.71399,3.4527,1755.4,108.78,36.571,4.088,0.38919,18.801,1.5413,9.2105,154.03,3.3631,50.998,0.00102669,3.8873,181.75,4.3313,63.36,3.7516,1.3629,27.312,217.25,14.789,1191.8,150.84,0.72588,9.6474,0.96927,30.342,31.195,5.9805
60.376,1.4936,12.427,36.431,4.2784,0.75899,1.7694,1.3233,799.8,6.9355,3427.2,6.7346,0.52856,22.807,6.7609,1.9902,14.13,0.90309,5.3695,5.9239,1.7663,307.73,7.7658,304.93,123.31,71.53,13642,0.71124,3.446,1748.6,108.56,36.431,4.098,0.3877,18.88,1.5464,9.2088,154.07,3.3783,51.009,0.00104275,3.891,181.05,4.3235,63.866,3.7519,1.3652,27.207,216.42,14.968,1197.6,150.26,0.72449,9.645,0.96486,30.365,31.176,5.9824
60.322,1.4944,12.442,36.477,4.2453,0.7685,1.7726,1.3275,787.58,7.0201,3397.7,6.749,0.52922,22.819,6.7729,1.9927,14.148,0.90423,5.3763,5.9314,1.7685,308.12,7.7677,306.07,124.44,71.333,13686,0.71214,3.4563,1750.8,108.63,36.477,4.1261,0.38819,18.79,1.547,9.2767,153.95,3.3744,51.02,0.0010352,3.8943,181.28,4.3312,63.7,3.7521,1.3686,27.241,216.69,14.894,1191.7,150.45,0.72648,9.6545,0.96573,30.281,31.131,5.9851
60.595,1.4857,12.461,36.532,4.2449,0.76743,1.7701,1.3278,782.25,6.9995,3370.1,6.7443,0.53003,22.756,6.7634,1.9957,14.17,0.90561,5.3845,5.9404,1.7712,308.59,7.7649,304.39,124.81,71.158,13689,0.71322,3.451,1753.5,109.37,36.532,4.1111,0.38878,18.691,1.5441,9.2208,154.03,3.3615,50.775,0.00103734,3.8694,181.56,4.3228,63.048,3.7519,1.3703,27.282,217.02,14.768,1185.5,150.68,0.72691,9.6009,0.96948,30.136,30.947,5.9757
60.556,1.4813,12.506,36.662,4.2484,0.7694,1.7748,1.3289,777.39,6.9722,3355.4,6.7668,0.53192,22.737,6.7814,2.0028,14.22,0.90884,5.4037,5.9616,1.7775,309.69,7.7623,304.69,125.32,71.178,13700,0.71577,3.4467,1759.8,109.74,36.662,4.1183,0.39016,18.612,1.544,9.2093,153.92,3.3609,50.783,0.00102669,3.8559,182.21,4.3317,62.892,3.7518,1.3811,27.38,217.79,14.767,1183.3,151.22,0.72775,9.5811,0.97334,30.018,30.975,5.986
60.687,1.4838,12.529,36.73,4.2637,0.77276,1.7791,1.329,783.37,6.9691,3381.8,6.7826,0.53291,22.644,6.7974,2.0065,14.247,0.91052,5.4137,5.9726,1.7808,310.26,7.7629,306.33,125.62,71.184,13561,0.7171,3.4358,1763,109.93,36.73,4.1252,0.39089,18.65,1.5471,9.2292,153.51,3.374,50.774,0.00102354,3.8616,182.54,4.3349,63.286,3.7521,1.3854,27.43,218.2,14.886,1184.5,151.5,0.72849,9.6235,0.97498,30.048,31.107,5.9865
60.769,1.4978,12.562,36.827,4.3114,0.77431,1.7818,1.3305,789.97,6.999,3411.5,6.7919,0.53431,22.804,6.8077,2.0118,14.284,0.91293,5.428,5.9884,1.7855,311.08,7.7671,308.07,125.63,71.494,13717,0.71899,3.4242,1767.7,109.78,36.827,4.1373,0.39192,18.766,1.5609,9.2912,154.03,3.3872,50.851,0.00102987,3.8859,183.03,4.3378,64.09,3.7511,1.3901,27.503,218.77,15.068,1194.3,151.9,0.72946,9.6483,0.97687,30.17,31.279,6.0149
60.961,1.4969,12.598,36.932,4.3201,0.77378,1.7867,1.3319,794.62,6.9843,3445.2,6.8102,0.53583,22.862,6.8261,2.0175,14.325,0.91552,5.4434,6.0054,1.7906,311.96,7.7662,308.19,125.97,71.301,13731,0.72103,3.4241,1772.7,109.71,36.932,4.1496,0.39303,18.756,1.5651,9.2815,154.04,3.3942,50.843,0.00103413,3.8967,183.55,4.3541,64.064,3.7508,1.3893,27.581,219.4,15.017,1188.1,152.33,0.72986,9.6655,0.97718,30.099,31.312,6.0158
61.081,1.4893,12.605,36.954,4.324,0.77212,1.7935,1.3292,791.92,6.9665,3424.3,6.8399,0.53615,22.893,6.852,2.0187,14.333,0.91606,5.4466,6.0089,1.7917,312.15,7.764,309.88,126.46,71.271,13703,0.72145,3.4113,1773.7,109.85,36.954,4.1319,0.39326,18.674,1.5619,9.2498,153.91,3.3882,50.491,0.00103734,3.9036,183.65,4.3735,63.325,3.7506,1.3866,27.597,219.52,14.833,1182.6,152.42,0.72974,9.6389,0.97656,30.025,31.253,6.0199
61.274,1.4835,12.638,37.05,4.3441,0.77116,1.7917,1.3254,790.93,6.9721,3383.1,6.8317,0.53754,22.791,6.8448,2.024,14.37,0.91844,5.4608,6.0246,1.7963,312.96,7.769,311,126.33,71.296,13664,0.72333,3.4193,1778.3,109.99,37.05,4.1352,0.39429,18.628,1.546,9.2234,154.52,3.3811,50.558,0.0010395,3.8983,184.13,4.3664,63.114,3.7504,1.3863,27.669,220.1,14.837,1180.2,152.82,0.73039,9.6323,0.97707,29.986,31.099,6.0465
61.375,1.4861,12.687,37.192,4.3363,0.76642,1.7997,1.3256,793.62,6.9768,3379.8,6.8565,0.5396,22.852,6.8756,2.0317,14.426,0.92196,5.4818,6.0477,1.8032,314.16,7.7657,310.21,126.71,71.269,13666,0.72611,3.4259,1785.2,109.83,37.192,4.1413,0.3958,18.634,1.5511,9.257,153.74,3.3842,50.483,0.00103627,3.9119,184.84,4.3842,63.487,3.751,1.3892,27.775,220.94,14.896,1183.6,153.4,0.73084,9.6689,0.97888,29.998,31.138,6.0474
61.44,1.4891,12.689,37.198,4.3086,0.76744,1.8041,1.3249,790.42,6.9879,3380.8,6.8712,0.53969,22.902,6.8918,2.0321,14.428,0.92212,5.4827,6.0487,1.8035,314.21,7.7661,309.64,126.84,71.5,13659,0.72623,3.4294,1785.5,109.77,37.198,4.1405,0.39587,18.569,1.5541,9.2521,153.75,3.3816,50.555,0.00102881,3.9195,184.87,4.3986,63.605,3.7511,1.3921,27.78,220.98,14.887,1184,153.43,0.73105,9.7062,0.98133,30.03,31.223,6.0525
61.636,1.4952,12.734,37.333,4.3526,0.76845,1.8076,1.3258,795.64,6.9963,3406.2,6.8799,0.54164,23.011,6.9041,2.0394,14.48,0.92545,5.5025,6.0706,1.81,315.35,7.7668,309.46,127.27,71.549,13668,0.72885,3.4222,1791.9,109.84,37.333,4.1515,0.3973,18.602,1.5651,9.3169,154.31,3.3839,50.647,0.00102041,3.9507,185.54,4.4199,63.925,3.7505,1.3922,27.88,221.77,15.022,1191.2,153.98,0.73207,9.7701,0.98236,30.125,31.214,6.065
61.718,1.4981,12.748,37.371,4.371,0.77288,1.812,1.3231,797.87,6.9968,3391.6,6.8979,0.5422,23.127,6.9201,2.0415,14.495,0.92641,5.5082,6.0769,1.8119,315.67,7.7738,311.6,127.95,71.558,13640,0.72961,3.423,1793.8,111.09,37.371,4.165,0.39771,18.588,1.5673,9.2784,153.8,3.383,50.6,0.00099503,3.9572,185.73,4.4278,63.611,3.7503,1.3942,27.909,222.01,14.982,1192,154.14,0.73331,9.8007,0.98394,30.16,31.219,6.0832
