x,y,value
DEM,NZD,0.625150290176067
DEM,HUF,0.672280628587866
DEM,CHF,0.851873318089678
DEM,GBP,0.56475890708534
DEM,CAD,0.487382942022199
DEM,KRW,0.390466706535294
DEM,ISK,0.549598430978383
DEM,CNY,0.424964192135594
DEM,ZAR,0.324167372671891
DEM,MXN,0.283438863962575
DEM,XPT,0.355942872268952
DEM,THB,0.29148476515968
DEM,MYR,0.288199910325919
DEM,INR,0.296755860692469
DEM,BRL,0.259260223562787
DEM,TWD,0.305910873787254
DEM,COP,0.21203868305806
DEM,JPY,0.481758587260289
DEM,CLP,0.212270113994219
DEM,PHP,0.169867784634303
DEM,ILS,0.196116767667045
DEM,RUB,0.124066071834394
DEM,IDR,0.227826192280091
DEM,TRY,0.167609304703933
DEM,PEN,0.145843891288236
DEM,HKD,0.169350748146468
DEM,SAR,0.0660542270377615
DEM,ARS,0.0217629438068684
DEM,PKR,-0.109569119448
FIM,XDR,0.950347691307724
FIM,ESP,0.999977726021315
FIM,DEM,0.999980307230521
FIM,FIM,1
FIM,MTL,0.999993414627642
FIM,PTE,0.999980701893529
FIM,NLG,0.999985617969371
FIM,ATS,0.999960635388584
FIM,EUR,0.999997152400284
FIM,SIT,0.999987067035584
FIM,SKK,0.999990524730171
FIM,CYP,0.999996254574052
FIM,BEF,0.999993616112443
FIM,LUF,0.999993616112443
FIM,FRF,0.999996347545122
FIM,IEP,0.999996835699855
FIM,ITL,0.999978272283114
FIM,GRD,0.999991538857299
FIM,EEK,0.999971632572647
FIM,SEK,0.80487216666742
FIM,SGD,0.660606833833574
FIM,HRK,0.767299932316655
FIM,PLN,0.722038055653641
FIM,RON,0.774251389915691
FIM,DKK,0.780591001347011
FIM,BGN,0.780085941799341
FIM,CZK,0.691200296992961
FIM,AUD,0.62207217652301
FIM,NOK,0.639541843125925
FIM,NZD,0.624918440664646
FIM,HUF,0.672109533662171
FIM,CHF,0.852096025124175
FIM,GBP,0.564961775788551
FIM,CAD,0.487376654705677
FIM,KRW,0.390555965540167
FIM,ISK,0.549692118631192
FIM,CNY,0.42504538523425
FIM,ZAR,0.324015165859553
FIM,MXN,0.284038604203353
FIM,XPT,0.356469157188307
FIM,THB,0.291165173497932
FIM,MYR,0.288262384074475
FIM,INR,0.296710042583828
FIM,BRL,0.259596010607549
FIM,TWD,0.305922650740234
FIM,COP,0.212377707085364
FIM,JPY,0.481659224024986
FIM,CLP,0.212457660318861
FIM,PHP,0.16947750576978
FIM,ILS,0.19628760073191
FIM,RUB,0.124182634124855
FIM,IDR,0.228065208419145
